path,kind,bytes,sha256,width,height,pages
outputs/figures/full/tree_shap_interpretation.svg,diagnostic_figure,817960,0672929caefe87f6531fde89bc156441274d0f0528834627075e5ce9c9218c5a,936,374,
outputs/figures/full/visual_abstract.png,visual_summary,610284,818e862fad03f25398ac0a6201c5c61d330deb7612d02a104721d9c69f90a86d,4260,2208,
outputs/figures/full/visual_abstract.svg,visual_summary,209546,b25e776ed82fe5206f4659d0bccf16b44d3d3a2d938bf12c3c2fcb98c2a55e0a,1277,662,
outputs/figures/full/visual_evidence_pack.png,visual_summary,881016,cc5f178a0ea81a53681a6da869b77008b0f554ddcc12a31ec8c7bb4579c78676,4320,3120,
outputs/figures/full/visual_evidence_pack.svg,visual_summary,338677,eaa0874a125fdfe2099123e62eef48be053ca58bfdd8624a62e498deaced1520,1296,936,
outputs/reports/visual_report.html,html_report,17015,bd90c64a0e286cd4c2414992d8f7d7f244a42ea542eb7232667e3fb0454b3269,,,
outputs/reports/visual_slide_deck.html,html_report,9184,f458115d1467f58d652881fefc58ae17667e2f351f64cf52efd440093a050fd5,,,
outputs/reports/visual_figure_package.pdf,pdf_package,1341028,6f015c8efbcc839c57a97630b984b71e062e9b29be5445837b86a6bbd08244c2,,,9
manifests/visual_abstract_manifest.json,manifest,196,82706c0a433b56a73f48db5bf463ef1872ce68b40d270cbe4b95781320dec60c,,,
manifests/paper_figure_package_manifest.json,manifest,797,ab9a1364f29ecdd6ba29122325319971a5ed919da252ddf7b03b0e39e7f454ce,,,
manifests/visual_pdf_package_manifest.json,manifest,445,e079dd15cbf8857431a8145d2e45ba18de2a12af1bcbbf2ce1092016e8f018e3,,,
manifests/visual_report_manifest.json,manifest,801,8313cc964023fe9d95c2cc348609a0c6fb8870ca5ba2e71acd8f168b28e0a8a6,,,
manifests/visual_slide_deck_manifest.json,manifest,410,61f5b8d753fcda8fcc19a2ffed057ca599db6733610ae9f397a1b0568aa5eb26,,,
