return_type,months,mean_monthly_return,annualized_return,annualized_volatility,annualized_sharpe,t_stat_naive,hit_rate,cumulative_return,max_drawdown
gross,227,-0.0012916438314159889,-0.015390087991420387,0.09110460567911115,-0.17013109119406142,-0.739956165330658,0.5286343612334802,-0.31124670548328937,-0.5545650772888897
beta_neutral_gross,227,-0.00038418145107910537,-0.004600448581357441,0.07686864860490818,-0.05997474258517012,-0.2608499141958414,0.4977973568281938,-0.13340051489884042,-0.3261858785323968
net,227,-0.0019551686715816303,-0.02321136394736545,0.07684897438965589,-0.305300418714991,-1.3278521022856669,0.4713656387665198,-0.393685365250418,-0.4605730126091636
taq_net,227,-0.004159395226577925,-0.04878658918950429,0.07674171721877193,-0.6503990857625198,-2.828799898111739,0.42731277533039647,-0.632985192920829,-0.6407961972068754
