date,gross_return,n_positions,n_long,n_short,return_coverage,turnover,fixed_cost,spread_cost,total_cost,net_return
2006-01-01,-0.028979007535252645,369,185,184,1.0,1.0,0.001,0.0,0.001,-0.029979007535252646
2006-02-01,-0.00823346974148061,369,185,184,1.0,1.777262044653349,0.0017772620446533489,0.0,0.0017772620446533489,-0.010010731786133958
2006-03-01,0.007093562113024879,377,189,188,1.0,1.8458009681413936,0.0018458009681413937,0.0,0.0018458009681413937,0.0052477611448834855
2006-04-01,0.0221855160137341,377,189,188,1.0,1.5702746819768096,0.0015702746819768096,0.0,0.0015702746819768096,0.02061524133175729
2006-05-01,-0.010141147951176984,371,186,185,1.0,1.788190926488799,0.001788190926488799,0.0,0.001788190926488799,-0.011929338877665783
2006-06-01,-0.020752794594594597,370,185,185,1.0,1.4124673060156931,0.0014124673060156932,0.0,0.0014124673060156932,-0.02216526190061029
2006-07-01,-0.0009284246555001196,367,184,183,1.0,1.4486486486486485,0.0014486486486486485,0.0,0.0014486486486486485,-0.002377073304148768
2006-08-01,0.003460077651845394,371,186,185,1.0,1.7470793374019182,0.0017470793374019182,0.0,0.0017470793374019182,0.0017129983144434757
2006-09-01,-0.003930661409147797,375,188,187,1.0,1.3220787347821141,0.0013220787347821142,0.0,0.0013220787347821142,-0.005252740143929911
2006-10-01,0.011361515625,384,192,192,1.0,1.59375,0.0015937500000000001,0.0,0.0015937500000000001,0.009767765625
2006-11-01,0.020701688150540944,395,198,197,1.0,1.7412449366764087,0.0017412449366764086,0.0,0.0017412449366764086,0.018960443213864534
2006-12-01,-0.010932064772609551,393,197,196,1.0,1.8325129467261447,0.0018325129467261449,0.0,0.0018325129467261449,-0.012764577719335696
2007-01-01,0.010414614738758139,395,198,197,1.0,1.5194329077577806,0.0015194329077577806,0.0,0.0015194329077577806,0.008895181831000357
2007-02-01,-0.005785374715114471,393,197,196,1.0,1.5999589806696406,0.0015999589806696406,0.0,0.0015999589806696406,-0.007385333695784112
