return_type,months,mean_monthly_return,annualized_return,annualized_volatility,annualized_sharpe,t_stat_naive,hit_rate,cumulative_return,max_drawdown
gross,227,-0.0008958296134519823,-0.010697147497957249,0.09375885286732778,-0.11465536354881994,-0.4986739493100878,0.5066079295154186,-0.24982424569189665,-0.5072357474122986
net,227,-0.0025199602107811017,-0.02982390997910289,0.09373760461637287,-0.32259755999879014,-1.4030830682761408,0.47577092511013214,-0.4815929927882029,-0.6208549843070089
