date,feature,integrated_gradient
2024-02-01,momentum_12_2,-1.7963353457162157e-05
2024-02-01,momentum_6_1,0.00012088929361198097
2024-02-01,momentum_36_13,-0.00011944473953917623
2024-02-01,realized_vol_12m,0.00022646553406957537
2024-02-01,amihud_illiq_12m,-1.3996570487506688e-05
2024-02-01,max_ret_12m,2.201798815804068e-05
2024-02-01,ret_skew_12m,2.1224543161224574e-05
2024-02-01,zero_volume_12m,0.0
2024-02-01,price,0.00019312347285449505
2024-02-01,book_to_market_comp,1.3759286957792938e-05
2024-02-01,gross_profitability,1.0003080205933657e-05
2024-02-01,operating_profitability,-5.2879946451867e-05
2024-02-01,roe,5.01024114782922e-05
2024-02-01,leverage,-3.868569547194056e-05
2024-02-01,capex_at,-5.915553992963396e-05
2024-02-01,accruals_at,-2.785564174700994e-05
2024-02-01,cashflow_accruals_at,-0.00010849357204278931
2024-02-01,investment,-1.399195480189519e-05
2024-02-01,asset_growth,-4.119631921639666e-05
2024-02-01,sales_growth,-2.1011854187236167e-05
2024-02-01,cash_at,0.00031173366005532444
2024-02-01,cashflow_at,-0.0003268306900281459
2024-02-01,net_working_capital_at,6.709918670821935e-05
2024-02-01,profit_margin,5.8965371863450855e-05
2024-02-01,sales_at,-5.102720024297014e-05
2024-02-01,debt_growth,5.761584179708734e-05
2024-02-01,equity_issuance,-0.00011598824494285509
2024-02-01,earnings_to_price,2.455170215398539e-05
2024-02-01,beta_252d,-0.000256089901085943
2024-02-01,idio_vol_252d,-0.00010203679994447157
2024-02-01,total_vol_252d,-0.000270999560598284
2024-02-01,mkt_corr_252d,-0.0001354250416625291
2024-02-01,taq_half_spread,-5.138482811162248e-05
2024-02-01,taq_intraday_vol,7.433372957166284e-05
2024-02-01,taq_dollar_volume,3.6931480281054974e-05
2024-02-01,ibes_analyst_coverage,-0.00016651245823595673
2024-02-01,ibes_forecast_dispersion,7.668080797884613e-05
2024-02-01,ibes_revision_breadth,-2.48549877142068e-05
2024-02-01,ibes_mean_estimate,-0.00022302725119516253
2024-02-01,vix_eom,0.00034681125544011593
2024-02-01,vix_mean,0.000896679179277271
2024-02-01,vix_realized_state_vol,0.0002500941336620599
2024-02-01,vix_change,-0.00013987741840537637
2024-02-01,vxo_eom,0.00011048471060348675
2024-02-01,vxn_eom,0.000492267485242337
2024-02-01,vxd_eom,0.00011763544171117246
2024-02-01,baa_aaa_spread,-0.0003596463648136705
2024-02-01,mktrf,-0.00027892563957720995
2024-02-01,smb,-4.185456418781541e-05
2024-02-01,hml,-0.000614573189523071
2024-02-01,rmw,0.000251045566983521
2024-02-01,cma,0.0007767591159790754
2024-02-01,umd,0.0003434697282500565
2024-02-01,fred_unrate,0.0008963070577010512
2024-02-01,fred_cpi_yoy,-0.00016471407434437424
2024-02-01,fred_indpro_yoy,0.0002164903562515974
2024-02-01,fred_dgs10,0.00012462129234336317
2024-02-01,fred_dgs2,0.0006947171641513705
2024-02-01,fred_10y2y_spread,-0.0015390465268865228
2024-02-01,fred_t10y3m,-0.0013035843148827553
2024-02-01,fred_nfci,4.104643721802859e-06
2024-02-01,bls_unrate,-3.2412561267847195e-05
2024-02-01,bls_avg_hourly_earnings,-0.0022328391205519438
2024-02-01,bls_cpi_u_yoy,-8.204441655834671e-06
2024-03-01,mean_iv,-0.001032125554047525
2024-03-01,atm_iv,-0.00028656679205596447
2024-03-01,put_call_iv_spread,-2.9983872082084417e-05
2024-03-01,median_spread_pct,-0.0005467046867124736
2024-03-01,n_contracts,0.00029719978920184076
2024-03-01,surface_ae_01,-0.0005666414508596063
2024-03-01,surface_ae_02,0.00017500710964668542
2024-03-01,surface_ae_03,8.357736805919558e-05
2024-03-01,surface_ae_04,-0.000179975206265226
2024-03-01,surface_ae_05,-2.303140536241699e-05
2024-03-01,surface_ae_06,-0.00024432691861875355
2024-03-01,surface_ae_07,-0.0003608321712817997
2024-03-01,surface_ae_08,0.00021584558999165893
2024-03-01,surface_ae_09,0.0004609095340128988
2024-03-01,surface_ae_10,4.962401726515964e-05
2024-03-01,surface_ae_11,0.00011242761684115976
2024-03-01,surface_ae_12,-0.00069934141356498
2024-03-01,market_equity,0.00012634195445571095
2024-03-01,log_market_equity,8.932844502851367e-05
2024-03-01,turnover,-0.00016084712115116417
2024-03-01,log_dollar_volume,0.00012834287190344185
2024-03-01,short_reversal,6.861690053483471e-05
2024-03-01,momentum_12_2,3.4325444175919984e-06
2024-03-01,momentum_6_1,9.518784281681292e-06
2024-03-01,momentum_36_13,-0.0002355881006224081
2024-03-01,realized_vol_12m,0.0003885894257109612
2024-03-01,amihud_illiq_12m,4.230380727676675e-05
2024-03-01,max_ret_12m,3.8251066143857315e-05
2024-03-01,ret_skew_12m,0.00010336280683986843
2024-03-01,zero_volume_12m,0.0
2024-03-01,price,0.00034298974787816405
2024-03-01,book_to_market_comp,5.337977927410975e-05
2024-03-01,gross_profitability,0.00020219961879774928
2024-03-01,operating_profitability,-3.3364896808052436e-05
2024-03-01,roe,5.67203969694674e-05
2024-03-01,leverage,9.683189091447275e-06
2024-03-01,capex_at,-8.792567678028718e-05
2024-03-01,accruals_at,-4.543025715975091e-05
2024-03-01,cashflow_accruals_at,-0.00020985797164030373
2024-03-01,investment,-5.000152305001393e-05
2024-03-01,asset_growth,-7.529276626883075e-05
2024-03-01,sales_growth,-2.2596034341404447e-06
2024-03-01,cash_at,0.0006490615196526051
2024-03-01,cashflow_at,-0.00038617331301793456
2024-03-01,net_working_capital_at,0.00010819645103765652
2024-03-01,profit_margin,0.00012850255006924272
2024-03-01,sales_at,1.3828743306021352e-07
2024-03-01,debt_growth,0.00011771519348258153
2024-03-01,equity_issuance,-0.0002598320716060698
2024-03-01,earnings_to_price,8.660331513965502e-05
2024-03-01,beta_252d,-0.0005662046605721116
2024-03-01,idio_vol_252d,-7.027915125945583e-05
2024-03-01,total_vol_252d,-0.0003581769997254014
2024-03-01,mkt_corr_252d,-0.00029155772062949836
2024-03-01,taq_half_spread,-5.5177093599922955e-05
2024-03-01,taq_intraday_vol,9.63972561294213e-05
2024-03-01,taq_dollar_volume,5.069759572506882e-05
2024-03-01,ibes_analyst_coverage,-0.0003471114905551076
2024-03-01,ibes_forecast_dispersion,0.00022623068070970476
2024-03-01,ibes_revision_breadth,9.283507824875414e-05
2024-03-01,ibes_mean_estimate,-0.0004319818690419197
2024-03-01,vix_eom,0.00018412579083815217
2024-03-01,vix_mean,0.0006576159503310919
2024-03-01,vix_realized_state_vol,7.304571772692725e-05
2024-03-01,vix_change,-6.688191933790222e-05
2024-03-01,vxo_eom,0.00010869692050619051
2024-03-01,vxn_eom,0.0003754837380256504
2024-03-01,vxd_eom,0.00020183523884043097
2024-03-01,baa_aaa_spread,-0.0004021259373985231
2024-03-01,mktrf,-6.322091940091923e-05
2024-03-01,smb,-0.0005120334681123495
2024-03-01,hml,1.0232754902972374e-05
2024-03-01,rmw,-0.00011242415348533541
2024-03-01,cma,-0.00013585326087195426
2024-03-01,umd,-6.198226037668064e-05
2024-03-01,fred_unrate,0.0006231832085177302
2024-03-01,fred_cpi_yoy,-0.0003140847838949412
2024-03-01,fred_indpro_yoy,0.0002336748584639281
2024-03-01,fred_dgs10,0.00011569848720682785
2024-03-01,fred_dgs2,0.0006573353311978281
2024-03-01,fred_10y2y_spread,-0.0019769715145230293
2024-03-01,fred_t10y3m,-0.00044798041926696897
2024-03-01,fred_nfci,1.5326542779803276e-05
2024-03-01,bls_unrate,0.00045298051554709673
2024-03-01,bls_avg_hourly_earnings,-0.0012272531166672707
2024-03-01,bls_cpi_u_yoy,-2.9016135158599354e-05
2024-04-01,mean_iv,-0.0014869964215904474
2024-04-01,atm_iv,-0.0008104090229608119
2024-04-01,put_call_iv_spread,0.0001359626039629802
2024-04-01,median_spread_pct,-0.00033256132155656815
2024-04-01,n_contracts,0.00025209656450897455
2024-04-01,surface_ae_01,-0.0007763789035379887
2024-04-01,surface_ae_02,-1.717335544526577e-05
2024-04-01,surface_ae_03,7.457746050931746e-06
2024-04-01,surface_ae_04,-0.00016183055413421243
2024-04-01,surface_ae_05,-5.6664350267965347e-05
