date,fold,hml,conditional_sdf_payoff
2011-01-31,1,-0.0047217700192890635,-0.002029766729281005
2011-02-28,1,0.0023500936114523793,0.002270948702721166
2011-03-31,1,0.01573004885011895,0.01727366742628913
2011-04-29,1,0.027691238065027754,0.02245667683055775
2011-05-31,1,0.02194889883690193,0.022072067538119248
2011-06-30,1,0.011219533064473042,0.006970340380965578
2011-07-29,1,0.028883189163394413,0.0148949033582302
2011-08-31,1,0.07551178774062815,0.042395143447137594
2011-09-30,1,-0.027145315254757524,-0.0014289011830305183
2011-10-31,1,0.02144420781658892,0.00029177648807596955
2011-11-30,1,0.011115407149084568,-0.0002983731077785554
2011-12-30,1,-0.059235535161865346,-0.002703654080170151
2012-01-31,2,-0.01594931737677527,0.001828069364546594
2012-02-29,2,0.028089219151281344,-0.0004977559938059456
2012-03-30,2,0.013066748227530539,-0.0015375256824668156
2012-04-30,2,0.02707727418546367,0.005559177029769023
2012-05-31,2,-0.01000006268526591,-0.0035482020009990275
2012-06-29,2,0.023236616964989305,0.006539197860184908
2012-07-31,2,-0.0025468473635788594,-5.007948188493636e-06
2012-08-31,2,-0.005870759512552063,-0.0015391994002924546
2012-09-28,2,0.038078558197850644,0.011716047110587815
2012-10-31,2,0.010675347180006756,0.0038437651532719544
2012-11-30,2,-0.009924165135059872,-0.003923861961896439
2012-12-31,2,0.00032468255717828243,0.00019866957866318367
2013-01-31,3,0.013554649008723236,0.002358072711517044
2013-02-28,3,0.010337726777415741,0.0021443283979988713
2013-03-28,3,-0.023751660623640317,-0.008598742255447827
2013-04-30,3,-0.03387239399497487,-0.015864722743326298
2013-05-31,3,0.0007701894861392835,-0.00013184324848072325
2013-06-28,3,-0.03836926647537064,-0.0020769480934901816
2013-07-31,3,-0.014687452677147415,0.002647138870307421
2013-08-30,3,-0.022646650717703345,0.0006692931965588274
2013-09-30,3,0.0481440904536222,0.02229858274179466
2013-10-31,3,-0.029300061904761907,0.01668046573020478
2013-11-29,3,0.004813314378482734,-0.0004114695079724416
2013-12-31,3,-0.05857018044788975,0.006484158436199476
2014-01-31,4,-0.015383955248858938,0.001479788848149063
2014-02-28,4,0.0750310672154497,-0.08848589046533775
2014-03-31,4,0.05775935016641065,-0.010995335920321396
2014-04-30,4,0.010450459043927648,0.007841405268367378
2014-05-30,4,-0.086840705411867,-0.02142473817708488
2014-06-30,4,0.058217988859764085,0.04183004743249533
2014-07-31,4,-0.027679658226472503,0.006155303520766506
2014-08-29,4,0.017242341309770433,0.006166983135287981
2014-09-30,4,-0.024871194879557718,0.010141733676661359
2014-10-31,4,0.056039796296296296,-0.058312062196447294
2014-11-28,4,-0.006229271861699793,0.0018581330425813645
2014-12-31,4,0.007052775947459088,-0.01345790403830307
2015-01-30,5,-0.026844671654254117,-0.04789074440331615
2015-02-27,5,0.014196535992175612,0.03157494189525005
2015-03-31,5,-0.007540527494023038,-0.0026679213046902368
2015-04-30,5,-0.03439012519201229,-0.09892742237406495
2015-05-29,5,-0.0048160415803492175,-0.012302489836195299
2015-06-30,5,0.03832732164191841,0.07065882089328442
2015-07-31,5,0.05310065872093022,0.003983384665434067
2015-08-31,5,0.11027320312230834,-0.11992122956298984
2015-09-30,5,-0.014072456094782415,0.020817841589446644
2015-10-30,5,-0.0605352477633094,-0.0383650723988648
2015-11-30,5,0.008971235762905337,0.002997368297369798
2015-12-31,5,0.16033764430790234,-0.11597711529668962
2016-01-29,6,0.037949081544964694,0.04603771518831243
2016-02-29,6,-0.05098350103514908,-0.09845381791982424
2016-03-31,6,-0.06677324445587052,-0.07970625697289808
2016-04-29,6,0.004361016670289071,0.012094185712604231
