date,n_assets,sdf_payoff,mean_realized_return,mean_target_return,mean_expected_return,rms_pricing_error,rms_forecast_error,rms_reconstruction_error,mean_factor_effective_n,mean_abs_factor_weight,fold
2006-01-01,1841,0.9985148310661316,-0.0027304389514029026,-6.475246450143857e-10,-0.0025327494367957115,0.09665469825267792,0.09698227792978287,0.09650570899248123,1823.992919921875,0.0005431830650195479,1
2006-02-01,1849,1.001625895500183,0.035333868116140366,7.736676299607836e-10,-0.002811904065310955,0.09742109477519989,0.0973622053861618,0.09409824758768082,1829.7783203125,0.0005408328725025058,1
2006-03-01,1884,0.9993581175804138,0.0035789553076028824,-5.061965846486771e-10,-0.0035115950740873814,0.0944327712059021,0.09419427812099457,0.0945124551653862,1869.6021728515625,0.0005307855899445713,1
2006-04-01,1884,0.9944472908973694,-0.0518338643014431,2.0247863385947085e-09,-0.00365480431355536,0.088811956346035,0.08904145658016205,0.08888064324855804,1870.98046875,0.0005307855317369103,1
2006-05-01,1857,0.9998199343681335,-0.007292952388525009,-6.419455522710393e-10,-0.004392324015498161,0.09524690359830856,0.09525885432958603,0.08910006284713745,1840.99169921875,0.0005385029362514615,1
2006-06-01,1850,0.9950831532478333,-0.03443117439746857,1.0309992859447448e-09,-0.004564148839563131,0.09490086883306503,0.09498541802167892,0.09430387616157532,1828.849609375,0.0005405405536293983,1
2006-07-01,1839,1.000702977180481,0.02938614785671234,-1.2964577189578108e-09,-0.005232569295912981,0.10781092941761017,0.10825194418430328,0.09748537838459015,1823.64404296875,0.0005437738145701587,1
2006-08-01,1859,0.9983332753181458,0.014897228218615055,6.412549380385713e-10,-0.004528316203504801,0.09271372854709625,0.0928226113319397,0.08711612224578857,1836.90966796875,0.0005379235954023898,1
2006-09-01,1872,1.0032813549041748,0.05195429548621178,-4.0755314678619925e-09,-0.005101689137518406,0.11455968022346497,0.11548764258623123,0.09926460683345795,1855.78662109375,0.0005341880605556071,1
2006-10-01,1920,1.001673936843872,0.03010840341448784,-1.4901161415892261e-09,-0.004826515447348356,0.10115257650613785,0.1023014709353447,0.08991602063179016,1897.1221923828125,0.0005208333022892475,1
2006-11-01,1977,0.9976292252540588,0.004335958510637283,1.29640853607782e-09,-0.004009419120848179,0.0823010727763176,0.08255011588335037,0.07791745662689209,1956.41845703125,0.0005058168899267912,1
2006-12-01,1968,0.9997678995132446,0.0227731354534626,3.028691297757291e-09,-0.004590578842908144,0.09005235880613327,0.0901579037308693,0.0827103927731514,1941.887939453125,0.0005081300623714924,1
2007-01-01,1979,1.0004459619522095,0.0018187140813097358,-8.433198583901458e-10,-0.0007325252518057823,0.08667033910751343,0.08515042811632156,0.0838431790471077,1892.390380859375,0.0005053057102486491,2
2007-02-01,1969,0.9990547299385071,0.009296748787164688,-3.632583678303547e-10,-0.000693600915838033,0.08622923493385315,0.08529757708311081,0.08500112593173981,1863.674072265625,0.000507872027810663,2
2007-03-01,1976,1.000034213066101,0.03115045092999935,-1.2065717869269577e-10,-0.0004625860892701894,0.08605872839689255,0.08480264991521835,0.08305514603853226,1871.8173828125,0.0005060728872194886,2
