date,sdf_factor_01,sdf_factor_02,sdf_factor_03,sdf_factor_04,sdf_factor_05,sdf_factor_06,sdf_factor_07,sdf_factor_08,sdf_lambda_01,sdf_lambda_02,sdf_lambda_03,sdf_lambda_04,sdf_lambda_05,sdf_lambda_06,sdf_lambda_07,sdf_lambda_08,fold
2006-01-01,-0.01449279673397541,0.0145214032381773,0.014495675452053547,0.01449828501790762,0.014506746083498001,-0.014581813476979733,0.014436639845371246,-0.014432396739721298,0.01453130692243576,-0.04672181233763695,-0.022308573126792908,0.06695066392421722,0.028790852054953575,0.003266453742980957,0.06089886277914047,-0.0331018790602684,1
2006-02-01,0.010773558169603348,-0.010621732100844383,-0.010652374476194382,-0.010607563890516758,-0.010601891204714775,0.010654862970113754,-0.010684974491596222,0.010638616979122162,0.00687766820192337,-0.0344918929040432,-0.018067000433802605,0.06463348865509033,0.03961562737822533,-0.013769671320915222,0.06508271396160126,-0.029236461967229843,1
2006-03-01,-0.004769725259393454,0.004975512158125639,0.004912640433758497,0.004902509041130543,0.0049716150388121605,-0.0049723070114851,0.004837789107114077,-0.004825975745916367,0.007364092394709587,-0.037573978304862976,-0.020680278539657593,0.06257495284080505,0.037035487592220306,-0.008211106061935425,0.058941010385751724,-0.03081303834915161,1
2006-04-01,-0.02162051945924759,0.021646805107593536,0.02161714807152748,0.021666597574949265,0.021663306280970573,-0.021618327125906944,0.02164791151881218,-0.021641593426465988,0.015547068789601326,-0.010881248861551285,0.03791119530797005,0.008880678564310074,0.1126038134098053,-0.048550840467214584,0.08078666031360626,0.00579435471445322,1
2006-05-01,-0.0004943659296259284,0.0007577562355436385,0.0007173482445068657,0.0006562300841324031,0.0007514926255680621,-0.0007024777587503195,0.0006336080841720104,-0.0006216731853783131,0.016849275678396225,-0.010097216814756393,0.03559239208698273,0.008975107222795486,0.11146460473537445,-0.047214996069669724,0.07958406955003738,0.004412466660141945,1
2006-06-01,-0.019465018063783646,0.01949487440288067,0.019498907029628754,0.01955302245914936,0.019587818533182144,-0.019433317705988884,0.019598938524723053,-0.019569262862205505,0.01624772883951664,-0.010288186371326447,0.03718583658337593,0.009238146245479584,0.1098194569349289,-0.04857780411839485,0.07939022779464722,0.006292751990258694,1
2006-07-01,0.0027891513891518116,-0.002796989167109132,-0.0028146628756076097,-0.0027336066123098135,-0.0027569467201828957,0.002821319969370961,-0.0027582147158682346,0.0027110979426652193,0.015602421015501022,-0.009561918675899506,0.036961015313863754,0.009288530796766281,0.11116702109575272,-0.04719136282801628,0.07938168942928314,0.0054514408111572266,1
2006-08-01,-0.006491813808679581,0.0063155111856758595,0.006345460657030344,0.0064312187023460865,0.006390955299139023,-0.006273963022977114,0.006507489364594221,-0.0064372532069683075,0.015969280153512955,-0.010691944509744644,0.038044657558202744,0.009297456592321396,0.11275357753038406,-0.05038883164525032,0.08231815695762634,0.005546106956899166,1
2006-09-01,0.012592857703566551,-0.012586290948092937,-0.01257922500371933,-0.012697985395789146,-0.012708688154816628,0.012515820562839508,-0.012728855945169926,0.012764612212777138,0.015842171385884285,-0.010453026741743088,0.0375293605029583,0.009504538029432297,0.11286352574825287,-0.04931080713868141,0.08155256509780884,0.005475549027323723,1
2006-10-01,0.006635440047830343,-0.006499282084405422,-0.006514105014503002,-0.006552150472998619,-0.006516087334603071,0.006530073471367359,-0.006580864079296589,0.006570156663656235,0.015539897605776787,-0.012180730700492859,0.0375349223613739,0.008038099855184555,0.11310701072216034,-0.050211723893880844,0.08211804926395416,0.0070441849529743195,1
2006-11-01,-0.009112365543842316,0.009075937792658806,0.00905340351164341,0.009513191878795624,0.009527947753667831,-0.008908789604902267,0.00945335254073143,-0.009556715376675129,0.015549251809716225,-0.012020204216241837,0.036841876804828644,0.007311828434467316,0.11261758208274841,-0.05004340782761574,0.08135519921779633,0.007269565016031265,1
2006-12-01,-0.0007741753361187875,0.000883525877725333,0.0008687414228916168,0.000931061222217977,0.000954801740590483,-0.0008158907876349986,0.0008976078242994845,-0.0009268422145396471,0.01564856991171837,-0.012464165687561035,0.03704492002725601,0.007814925163984299,0.1130644828081131,-0.049771297723054886,0.0816880464553833,0.006576787680387497,1
2007-01-01,0.0019760029390454292,-0.0018329172162339091,0.002016690094023943,-0.0018965653143823147,0.0018780373502522707,-0.0018395849037915468,-0.0018947498174384236,0.0021413827780634165,-0.002274923026561737,0.03976048156619072,-0.027256937697529793,0.014729510992765427,-0.072105273604393,-0.013223905116319656,0.07694073766469955,-0.013478007167577744,2
2007-02-01,-0.0040623461827635765,0.0041489386931061745,-0.00403496902436018,0.004069365095347166,-0.004146643448621035,0.0041452432051301,0.004083817824721336,-0.0037607704289257526,-0.0015405863523483276,0.03936579450964928,-0.025757038965821266,0.014995638281106949,-0.07267528027296066,-0.014692749828100204,0.07708732783794403,-0.01474841684103012,2
2007-03-01,0.0002509383193682879,-0.000254493992542848,0.0002854822378139943,-0.0001666581374593079,0.00013385227066464722,-0.00020861608209088445,-0.00017197962733916938,-0.0004178965464234352,-0.0012736618518829346,0.039595674723386765,-0.026720965281128883,0.01434537023305893,-0.07236914336681366,-0.014616597443819046,0.07668033987283707,-0.014372698962688446,2
2007-04-01,0.001184473279863596,-0.0011863927356898785,0.0011680219322443008,-0.0011732944985851645,0.001161471358500421,-0.0012245784746482968,-0.0011987901525571942,0.0011260928586125374,-0.0014216378331184387,0.04041580483317375,-0.027132751420140266,0.01375671848654747,-0.07255153357982635,-0.013266883790493011,0.07695173472166061,-0.012783486396074295,2
2007-05-01,-0.00013351114466786385,0.00024040337302722037,-0.00011164307943545282,0.0002188203507103026,-0.0002867407747544348,0.00021110769012011588,0.00019601694657467306,0.0002139026764780283,-0.0013016685843467712,0.04005720838904381,-0.026698416098952293,0.014459725469350815,-0.07196403294801712,-0.013888664543628693,0.07659119367599487,-0.013480853289365768,2
2007-06-01,-0.009199291467666626,0.009201038628816605,-0.008974069729447365,0.009206125512719154,-0.00921335443854332,0.009197554551064968,0.009185158647596836,-0.009643645957112312,-0.0016758143901824951,0.040604118257761,-0.026175403967499733,0.014425508677959442,-0.07284046709537506,-0.015069376677274704,0.07700563967227936,-0.013389162719249725,2
2007-07-01,-0.00680070836097002,0.0067031956277787685,-0.006702120415866375,0.006633101962506771,-0.006723212543874979,0.0066749765537679195,0.006679472979158163,-0.006735754199326038,0.000205162912607193,0.04074333235621452,-0.025031892582774162,0.013573117554187775,-0.07437226921319962,-0.016434501856565475,0.07752818614244461,-0.013527575880289078,2
2007-08-01,0.001207613619044423,-0.0011895701754838228,0.0015626426320523024,-0.0011270198738202453,0.0011314748553559184,-0.0011423814576119184,-0.001144444802775979,7.203244604170322e-05,0.0003467872738838196,0.040614914149045944,-0.025363268330693245,0.012631013989448547,-0.07394683361053467,-0.0164843387901783,0.07619940489530563,-0.014417082071304321,2
2007-09-01,0.0011109254555776715,-0.0009872083319351077,0.0012567617231979966,-0.000984589452855289,0.0009896715637296438,-0.0010057649342343211,-0.0009656932670623064,0.0003662484232336283,-0.00035059452056884766,0.039011064916849136,-0.027291933074593544,0.012451954185962677,-0.07456935197114944,-0.015110503882169724,0.07522835582494736,-0.015048034489154816,2
2007-10-01,-0.026446547359228134,0.0262589231133461,-0.02627427875995636,0.02624998427927494,-0.026119474321603775,0.026217008009552956,0.026293477043509483,-0.027235645800828934,-0.0017067603766918182,0.04045034572482109,-0.026234151795506477,0.012966372072696686,-0.07366099953651428,-0.014462199062108994,0.07548736035823822,-0.012925270944833755,2
2007-11-01,-0.0022765211760997772,0.0022283054422587156,-0.002232898259535432,0.0022739768028259277,-0.002278368454426527,0.0022058456670492887,0.002278221771121025,-0.0024963426403701305,-0.0022597014904022217,0.04205438867211342,-0.025658639147877693,0.0129447802901268,-0.07392547279596329,-0.01572197675704956,0.07629414647817612,-0.010235719382762909,2
