fold,decile,mean_return,fitted_mean_return,pricing_error
1,1,-0.0033141323594814004,-0.0009943402409998484,-0.002319792118481552
1,2,-0.0010084207459448446,-0.000751336490751158,-0.0002570842551936866
1,3,0.004553778767515144,-0.0006211453182807681,0.005174924085795912
1,4,0.006776649446984044,-0.0004831629337102953,0.007259812380694339
1,5,0.0024174865679966644,-0.0005437764944788977,0.002961263062475562
1,6,0.006167571571281695,-0.0005071079342894418,0.006674679505571136
1,7,0.006611807963923427,-0.0004770666159892661,0.007088874579912694
1,8,0.0035585238214460337,-0.0004999061162534,0.004058429937699433
1,9,0.004630372556972926,-0.0004948764795771449,0.00512524903655007
1,10,0.00708518296233178,-0.0005522921140597424,0.007637475076391523
2,1,0.0067513767613539034,-0.00013303545210451964,0.006884412213458423
2,2,0.012777830337560034,-8.736706276686058e-05,0.012865197400326895
2,3,0.00873436313931648,-7.61574917421804e-05,0.00881052063105866
2,4,0.012342606626917515,-7.194111983335539e-05,0.012414547746750871
2,5,0.01612476519618463,-7.629382983325636e-05,0.016201059026017886
2,6,0.015102952713556161,-6.119233413235654e-05,0.015164145047688518
2,7,0.015908682209817306,-5.0049823043493345e-05,0.0159587320328608
2,8,0.013855061140264024,-6.552390695239302e-05,0.013920585047216417
2,9,0.01375892910019678,-4.882669571290193e-05,0.013807755795909682
2,10,0.014772817960609618,-6.553976591723851e-05,0.014838357726526858
3,1,0.029397572634190017,-4.5475519613838536e-05,0.029443048153803855
3,2,0.021986313590122705,-4.4234673979579066e-05,0.022030548264102282
3,3,0.022327080773944605,1.6188374915058564e-05,0.022310892399029548
3,4,0.022929749233452423,2.9042111033143702e-05,0.02290070712241928
3,5,0.022762015722615766,3.770564107569342e-05,0.02272431008154007
3,6,0.023377851666325593,4.7848749534273034e-05,0.02333000291679132
3,7,0.0220851864789,5.798478508441662e-05,0.02202720169381558
3,8,0.022745362851098072,4.537982867948648e-05,0.022699983022418584
3,9,0.01968388442044329,6.0708736982538095e-05,0.019623175683460753
3,10,0.017432764572764593,3.988621163218386e-05,0.01739287836113241
