term,coefficient,se_hc1,t_hc1,se_cluster_date,t_cluster_date,se_cluster_entity,t_cluster_entity
surface_signal,-0.0011778864800044272,0.0007093542476206409,-1.6605052890785748,0.0006847466459576632,-1.7201785316627225,0.0007377102544142202,-1.5966790117886183
signal_x_pilot,0.002011442602684951,0.0011865430541072445,1.6952124878421384,0.0008141119591883262,2.4707198807033492,0.0012268484464640628,1.639520030760271
signal_x_post,-0.001320488534432796,0.0011463275407037157,-1.1519295206169131,0.0015553407025220172,-0.8490027505173603,0.0011816883519757766,-1.1174592118344455
signal_x_pilot_x_post,-0.0012648300936259319,0.0019465335005005014,-0.6497859365383196,0.0015745031175925836,-0.8033201582730799,0.002044171408621415,-0.6187495277017551
pilot_post,-0.0007269566955584935,0.001626790927168487,-0.44686547202706545,0.0013268034817870641,-0.5479008048572194,0.0019396929876325597,-0.37477925640477827
log_market_equity_z,-0.11830180030549557,0.0033248958627350644,-35.58060317960766,0.009056261680051917,-13.062983876236379,0.00487888946456276,-24.247690209988725
book_to_market_comp_z,0.0009592159473425755,0.0005230148638458552,1.8340127855817097,0.0008238544012351528,1.1643027528947878,0.0006334912909321848,1.5141738506477107
momentum_12_2_z,-0.0017365632455503164,0.0008229692412485225,-2.1101192590330413,0.0016692115370380354,-1.0403494146894015,0.0010845514177268418,-1.6011811124548196
short_reversal_z,-0.0016031935962561648,0.0004944012122627405,-3.2426975429910088,0.0012227386666530254,-1.311149831095593,0.0005116413426052051,-3.13343247066965
beta_252d_z,-0.000942475702239631,0.0009054034655228313,-1.0409455432064114,0.0022462036335551537,-0.4195860465010192,0.0010477473867675662,-0.8995257007008992
idio_vol_252d_z,-0.00357049764520908,0.001464545721745786,-2.437955737532681,0.0020609784174186064,-1.7324284500180063,0.0015768617769102663,-2.2643060396867396
median_spread_pct_z,0.0009309654710648779,0.0005564918001076962,1.6729185782876062,0.0006326221950725931,1.4715978641218084,0.000573953709610652,1.6220218729771934
turnover_z,-0.0009446624284511372,0.0009189486121823195,-1.0279817782277862,0.0011002005558953154,-0.8586274778623383,0.0011036400529795174,-0.8559515631032188
ibes_analyst_coverage_z,-0.0041030480423883235,0.0011101169102522865,-3.6960503929769524,0.0014993069638636499,-2.7366297504648043,0.0013007742448522864,-3.154312178785688
ibes_forecast_dispersion_z,0.00020312055818630213,0.0006419807190800632,0.3163966644938606,0.0006424458715827523,0.31616758262589056,0.0006541261033485415,0.3105220188378147
