latent_factor,state_variable,correlation,nobs
sdf_factor_03,vxn_realized_state_vol,0.10932496653353607,227
sdf_factor_05,fred_dgs10,0.10881459794996903,222
sdf_factor_07,vix_log,-0.10847950132968966,227
sdf_factor_04,bls_cpi_u_yoy,0.10839898833293145,227
sdf_factor_03,fred_cpi,-0.10811467700222761,227
sdf_factor_03,bls_cpi_u,-0.10749176421036069,227
sdf_factor_04,fred_cpi_yoy,0.10681806691849632,227
sdf_factor_02,sdf_lambda_01,-0.10553719262281726,227
sdf_factor_06,mktrf,0.10456909059758278,227
sdf_factor_03,vix_realized_state_vol,0.10412905041955493,227
sdf_factor_07,fred_indpro_yoy,0.1026920465833194,227
sdf_factor_05,cma,0.10214230653219158,227
sdf_factor_08,sdf_lambda_04,-0.10196226354289586,227
sdf_factor_08,cma,-0.10181577918162393,227
sdf_factor_02,fred_dgs10,0.10080463759307001,222
sdf_factor_06,term_spread_10y_ff,0.1005001101448538,129
sdf_factor_01,vix_mean,0.10042978302397806,227
sdf_factor_02,vix_change,-0.10028283589368626,227
sdf_factor_01,vxn_eom,0.09941506530499511,227
sdf_factor_06,rmw,-0.09840281871090814,227
sdf_factor_04,fred_indpro,-0.09838653538369763,227
sdf_factor_07,vxn_eom,-0.09797705443456443,227
sdf_factor_03,vix_change,0.09755812281214526,227
sdf_factor_02,vxo_mean,-0.09735011782524951,181
sdf_factor_06,fred_10y2y_spread,0.09722420164135293,222
sdf_factor_07,fred_indpro,0.09707571711291688,227
sdf_factor_08,hml,-0.09666424211015048,227
sdf_factor_01,vxo_realized_state_vol,0.09661260176704975,181
sdf_factor_02,cma,-0.09647183028802155,227
sdf_factor_02,mswp10,0.09635095314070521,129
sdf_factor_06,vix_change,-0.09580935283697084,227
sdf_factor_02,mktrf,0.09576091267070856,227
sdf_factor_01,mktrf,-0.09347026357662502,227
sdf_factor_02,vxn_mean,-0.0927384139775302,227
sdf_factor_02,mswp1,0.09237995375889163,129
