feature,mean_shap,mean_abs_shap,shap_std
vix_change,-0.0007916040194139425,0.005411762599474942,0.007606127399239625
fred_dgs10,-0.0005444491232721527,0.004520346486183664,0.005800613391448738
fred_nfci,0.0013427142103920081,0.004387177848443999,0.005297036522088041
cma,-0.0005096341284487096,0.0037355709809157992,0.004568033075721685
equity_issuance,0.00012014229380744771,0.0031162833104541178,0.0038685851401114714
hml,-0.000621223526240544,0.002743028040409466,0.0033657812220378768
mktrf,-0.0006958146736554322,0.00272368103393052,0.0033114272058974697
vix_eom,0.0003595049128355024,0.002717817752791108,0.00330741040275956
debt_growth,0.0002105770641166519,0.0025339768926823164,0.003271403224390459
bls_avg_hourly_earnings,-0.0003280991406228878,0.002531197976628028,0.0031879978055213446
vix_realized_state_vol,0.0001900336673056328,0.002423507874439777,0.003204833445758885
umd,0.0008613064844003752,0.002069591563120234,0.0023097343940666403
vxn_eom,0.00042766335245023046,0.002000180782641567,0.0025262811741169444
fred_dgs2,-0.00025853324043687497,0.0017883910929753799,0.002234417487860882
baa_aaa_spread,-0.00022108638531365433,0.0015905998296861074,0.0023635346933598986
rmw,0.0001884319899178321,0.0014822545276613277,0.0018996757427703155
fred_unrate,-0.0003021982725496356,0.001430761344372995,0.0018111162008534391
vix_mean,-0.00015424398994248598,0.0013482521166201936,0.0016818612021523981
fred_indpro_yoy,0.000278558545816512,0.0012066743077392475,0.002142306274304895
short_reversal,4.684972168881009e-05,0.0011892693478316545,0.00152049027440918
put_call_iv_spread,7.925905062272463e-05,0.0011626866781551137,0.0014228187004929086
fred_10y2y_spread,2.4962048176081484e-05,0.0010741415492662107,0.001527594184732364
fred_cpi_yoy,-0.00030792964658066485,0.0010052912896383601,0.0017137060397588724
fred_t10y3m,-0.00029200535855902174,0.0009557611196687934,0.0012282404027581047
smb,-0.00010791183543077002,0.0008702316132485344,0.0011892881034575112
total_vol_252d,3.5737568273293304e-05,0.0008361316804243909,0.00113858849292216
vxd_eom,3.3463712544969288e-06,0.0008220511810171001,0.0010507686771603112
profit_margin,-0.00025678919244594617,0.0007331905832979835,0.0014699333946727716
atm_iv,1.1790198744637252e-05,0.000681278257035274,0.0010047770291627114
bls_cpi_u_yoy,0.00018580511213856987,0.0006430360849908546,0.0010145095266152297
operating_profitability,3.6705917685393775e-05,0.0006278704063143556,0.0015397578479121878
vxo_eom,3.525444144216507e-05,0.0005701803012538494,0.0009879059372221528
beta_252d,-1.56580308327256e-06,0.00044648374255939734,0.00069810314694576
leverage,7.223461164815132e-05,0.0004455011508133384,0.0013744562803698944
earnings_to_price,7.602475042370476e-05,0.00042786894500152097,0.0008259843937027065
momentum_6_1,-0.00010167005977414381,0.0004096828972452694,0.0006719109021363279
sales_at,5.9664939765265644e-05,0.0003868727682407815,0.0005039724332317426
surface_ae_05,-2.5093140003969872e-05,0.000375118974171719,0.0008642381324917746
bls_unrate,-4.128715936613117e-05,0.00035817615535604274,0.0005173001766316527
surface_ae_11,7.973376180135852e-06,0.0003535831578026593,0.0005439867742109079
gross_profitability,-2.1112240190704034e-05,0.00034307570056595906,0.000615737049273038
mean_iv,-2.127326728879572e-06,0.0002711375079153807,0.0005479972975722628
momentum_12_2,-2.558649753426318e-05,0.0002544411550015964,0.00043201496063890446
surface_ae_08,3.5657344730126598e-06,0.00024643132186737073,0.000452948057644509
ibes_forecast_dispersion,1.3136418929777191e-05,0.00021010832763535404,0.0003295463453026992
ibes_revision_breadth,-1.869383399437898e-05,0.0002093556186056428,0.0003310565477385369
momentum_36_13,0.00012328598439186782,0.000209130938413896,0.00030671907643110456
max_ret_12m,-5.068870063647321e-05,0.00020670921992522835,0.0010112760692562776
sales_growth,-2.6555421098727732e-05,0.00019235778253736706,0.0005295861678628757
amihud_illiq_12m,2.3066211624212622e-05,0.00017785286140162117,0.0002479609339771769
capex_at,-5.045981679214665e-06,0.00017435598439305267,0.00039358239928484446
taq_dollar_volume,-0.0001319252274825144,0.00017152853890102908,0.00023363088076551274
median_spread_pct,2.535932561108048e-05,0.00016498449024845196,0.0002903554333763688
turnover,-4.334283684055512e-05,0.00015246577362317617,0.00037467674705897897
accruals_at,-1.0914285001913834e-06,0.00014520545600214398,0.0003240465462620365
investment,-4.18267583999518e-06,0.00014416526138077873,0.00033739647835194037
realized_vol_12m,4.314559573172179e-05,0.00012870953977931092,0.00037628527157780963
surface_ae_07,-1.2402433443122185e-05,0.0001257066558096592,0.00026812773635391003
surface_ae_01,-3.628752993735448e-06,0.00011873787456819317,0.0004306513753908265
taq_intraday_vol,2.8262212336618603e-05,0.00011051783906235756,0.00019697753101466196
surface_ae_02,-6.409293968108973e-06,0.00010831391172327413,0.0001906418641775644
price,-8.549875696978233e-05,0.00010824689014607327,0.0001291745913519335
net_working_capital_at,-4.227367395463623e-05,0.00010490451647297788,0.00021636278913771776
book_to_market_comp,9.290167209572657e-06,0.00010177611859532895,0.0002840167545355221
cashflow_at,1.391508986817509e-05,9.834013834524144e-05,0.00018361338133362766
surface_ae_04,1.1533068411785097e-05,9.810698745493835e-05,0.00020056561127690528
cash_at,-1.2295129723662213e-05,9.616383472414309e-05,0.00025317581035289434
market_equity,-8.094527351028254e-06,9.445823492390693e-05,0.0002844735827187794
n_contracts,3.845546741695368e-06,9.197506039562058e-05,0.0002096871900067553
cashflow_accruals_at,-1.4427742769094209e-05,8.261630985115496e-05,0.00015960435175606878
mkt_corr_252d,-7.4836124823380915e-06,8.075458756952775e-05,0.00021675475191639733
idio_vol_252d,-4.6828291993727516e-05,7.871580869501882e-05,0.0001839666635521566
surface_ae_12,-8.982050975977653e-07,7.07215049889032e-05,0.00026430701648902355
surface_ae_03,5.326929168106088e-06,6.593252852277571e-05,0.00020059890451260294
log_dollar_volume,3.695400389885529e-05,5.924134983429361e-05,0.000202557231846956
ibes_mean_estimate,1.3069280305866984e-05,5.834327764075364e-05,0.00018519336030747963
log_n_contracts,-1.2273608198123575e-05,5.754825155821777e-05,0.0002204392003211763
asset_growth,-2.319242941064537e-06,5.57983789222819e-05,0.00012239105915645349
taq_half_spread,-1.53908180376767e-05,4.226217284334137e-05,0.00011669008071092675
surface_ae_06,-1.6312873447679025e-06,3.909287539342789e-05,0.00015048069567829146
roe,-1.3964626920424773e-06,3.110666839873658e-05,0.00011029677841928742
surface_ae_09,2.393312167824095e-06,3.108668439389467e-05,0.00014847412507939766
ret_skew_12m,4.2104155959482545e-06,2.900927287213495e-05,0.0001354871940710434
surface_ae_10,-2.7918625788322216e-06,2.0563705391839716e-05,7.992217030643318e-05
ibes_analyst_coverage,4.319626990649366e-06,1.9134810392711697e-05,8.409452507137211e-05
log_market_equity,3.3335089587921575e-06,1.5811379082467194e-05,8.625022314201564e-05
zero_volume_12m,0.0,0.0,0.0
