feature,mean_attribution,mean_abs_attribution,attribution_vol
bls_avg_hourly_earnings,-0.001790001668268775,0.0017900016682687748,0.00041661085919228235
fred_10y2y_spread,-0.001371827071125125,0.001371827071125125,0.0007320346953049844
mean_iv,-0.00114402332110325,0.00114402332110325,0.0002294122052985945
vix_mean,0.00075040027149945,0.00075040027149945,0.00018260452702676888
fred_unrate,0.0007151873724069,0.0007151873724069,0.00012281045920720335
surface_ae_12,-0.00066342341597185,0.0006634234159718501,9.777819409730238e-05
fred_t10y3m,-0.0006461011923874691,0.000646101192387469,0.000549932582076781
surface_ae_01,-0.000596829195273975,0.000596829195273975,0.000125682214024122
atm_iv,-0.0005273044298519001,0.0005273044298519,0.00021938958204533194
fred_dgs2,0.0004541099060588447,0.0005030888842156553,0.0003722392620962486
cash_at,0.000496524990012375,0.0004965249900123751,0.00014638657480533224
beta_252d,-0.000438660215877425,0.00043866021587742504,0.00015486949560172253
cashflow_at,-0.000416675058659125,0.00041667505865912495,0.00014652318397529525
surface_ae_09,0.00041613409848645,0.00041613409848645,5.406835066266768e-05
smb,-0.00041485547899352887,0.00041485547899352887,0.0003201936449828723
ibes_mean_estimate,-0.00040304315916725,0.00040304315916725,0.0002015927025653773
surface_ae_07,-0.000382929218176225,0.000382929218176225,8.213282331349337e-05
fred_cpi_yoy,-0.000382656220608575,0.000382656220608575,0.00021229876409959125
total_vol_252d,-0.000377079770259975,0.00037707977025997494,0.00016660919596321448
vxn_eom,0.000376263706129925,0.000376263706129925,8.214762965522784e-05
cma,0.000294987486995475,0.000362914117431425,0.0003738603658724098
median_spread_pct,-0.00033978115607165,0.00033978115607165,0.0001469082267626683
price,0.00030156180218905,0.00030156180218905,0.00011331922841356465
baa_aaa_spread,-0.0002660020745679,0.00026600207456789997,0.0001394490992123487
realized_vol_12m,0.000259528842434475,0.000259528842434475,0.00010292613135157394
