portfolio,status,nobs,alpha_monthly,alpha_annualized,alpha_t_newey_west,alpha_p_newey_west,rsquared,beta_mktrf,t_mktrf,beta_smb,t_smb,beta_hml,t_hml
decile_1,PASS,227,-0.005367625310246883,-0.0625435665725046,-2.918735044766934,0.003514548061274326,0.8254359894581028,1.2402528643514434,23.250913130736198,1.04782052582826,9.784944528607342,0.03940860171004682,0.46823403794609497
decile_2,PASS,227,-0.0001190217735194218,-0.0014273266850224342,-0.07944424915133967,0.936679274104923,0.898013036712522,1.0747177204191758,33.484112407959735,0.8535992827251966,9.714399605698835,0.13699321733226863,2.885580177883868
decile_3,PASS,227,-0.0006235864450804976,-0.0074574258499238155,-0.6354528745668747,0.5251330926333939,0.9467846357716999,1.0725563640715459,40.10350272456215,0.7348751174249664,14.681584238018488,0.191815455545477,5.100842758072977
decile_4,PASS,227,0.0005954432999536152,0.007168766587005049,0.7315472345842194,0.46444496428646265,0.9515498485284799,1.011171345754038,39.72779988026625,0.6957340451620854,15.821160690053347,0.2038597759695306,5.2827074488176455
decile_5,PASS,227,0.0004555828349394354,0.005480713521041514,0.6515420420694177,0.5146966471037839,0.9600776818676231,1.0229605520355673,47.12473915658599,0.6367429788396606,18.623584620933425,0.21550367125841158,6.297714541920115
decile_6,PASS,227,0.0006283397974245695,0.007566189742386209,0.8844526195384064,0.37645192859649224,0.9603229842136046,1.0190774240346339,52.74280269375911,0.64141026447797,16.15742128555702,0.23352051841301144,6.816939742716594
decile_7,PASS,227,0.000540132243880954,0.006500876663774635,0.6938456148906689,0.487779032872908,0.9497576110911258,0.9720149615963672,41.908213749222234,0.654044059442533,14.938737344013798,0.23168853472210965,6.225613820965513
decile_8,PASS,227,0.0001977585469213,0.0023756854225291946,0.21739388825019093,0.8279013937860402,0.9380011769518022,0.9877360461807656,40.044797398426475,0.6425117213790247,12.938451083319102,0.24233119358295502,6.067929765688565
decile_9,PASS,227,-0.001195907670963323,-0.01425687444449908,-0.9185567051040779,0.35832748630096334,0.8971300116454907,1.0069426232246543,30.578694627211405,0.7079912130329564,10.638251020887603,0.18482616620489153,3.3807433504650093
decile_10,PASS,227,-0.006207762202583152,-0.07200165135491232,-2.9518837611327204,0.003158418026778131,0.8152350564789547,1.1228070261123413,18.675663378327805,0.8015691091180326,8.991340110536582,0.09033309399068433,1.0765667864957094
decile_ls,PASS,227,-0.0008401368923362691,-0.010035188140541385,-0.24204305742313625,0.808746799943271,0.029401056869738706,-0.11744583823910211,-1.1798656893380153,-0.24625141671022738,-1.418218160269854,0.05092449228063766,0.32590056045294413
