portfolio,status,nobs,alpha_monthly,alpha_annualized,alpha_t_newey_west,alpha_p_newey_west,rsquared,beta_mktrf,t_mktrf,beta_smb,t_smb,beta_hml,t_hml
gross_ls,PASS,227,-0.0004200684461681365,-0.005029191450980575,-0.24204305742313764,0.80874679994327,0.029401056869738373,-0.05872291911955084,-1.1798656893380124,-0.12312570835511388,-1.4182181602698578,0.02546224614031881,0.3259005604529442
net_ls,PASS,227,-0.002047998288070097,-0.024301036956872357,-1.1795916764131935,0.23816265504072964,0.029269129144521067,-0.058267675145073104,-1.1704823739854302,-0.12333753905441526,-1.4174421483265336,0.025486934411316935,0.3257310361219099
