portfolio,status,nobs,alpha_monthly,alpha_annualized,alpha_t_newey_west,alpha_p_newey_west,rsquared,beta_mktrf,t_mktrf,beta_smb,t_smb,beta_hml,t_hml,beta_rmw,t_rmw,beta_cma,t_cma,beta_umd,t_umd
decile_1,PASS,227,-0.0038362665935418937,-0.04507619521985218,-2.095746278507685,0.03610470418803343,0.8396065513196617,1.1862852570590992,19.80829788136873,0.9118094301944234,8.547221190330795,-0.0656429103988645,-0.8104275321497904,-0.3405195793771347,-2.5796839122535355,0.11350952141729523,0.7288288805249937,-0.18828022167466438,-2.5746341365407424
decile_2,PASS,227,0.00042524250977895824,0.005114861909590429,0.28759136875747604,0.7736595526171042,0.901613579788114,1.0589302768126208,29.845721541858865,0.8006178140657434,9.95479193903845,0.07285416889384287,1.5003685442441752,-0.14574368303256696,-1.7135220782103195,0.10613561467872099,1.1143969606874549,-0.07335974910286415,-1.3106092661963764
decile_3,PASS,227,-0.00028566852629183427,-0.0034226414114812975,-0.27417921680913004,0.7839468989379108,0.9480037198934695,1.054899661065351,33.859845863296094,0.7085986682864087,15.444578527844863,0.18654896575655477,3.718950353944657,-0.048218264838771965,-1.033218337615719,-0.029474219036203335,-0.4128969143608501,-0.04667815414288486,-1.6742096340670438
decile_4,PASS,227,0.0008277081841019635,0.009977839851161407,0.9737863733520873,0.3301626203915773,0.9535436921461474,0.9952487888946481,33.92591176173521,0.6884732921784874,14.720630366642405,0.2675965028106574,4.58372010480226,0.014806617611915965,0.26328925896192584,-0.17123271356965383,-2.058733958794852,-0.003034396067885612,-0.12227054261755259
decile_5,PASS,227,0.0005371566972410367,0.006464957968830953,0.7252482736519793,0.4682997326409487,0.9622161775968807,1.0034117780784872,41.95657951797632,0.6389806002716574,18.47512907042163,0.25283990040012466,4.423150960680879,0.05504564254420102,1.2658278580005482,-0.1333999882762966,-1.6979376738295895,-0.03018921737721522,-1.6704319396759908
decile_6,PASS,227,0.0006044571990381988,0.007277649362880556,0.8735632589106894,0.3823561422161207,0.9608990717798144,1.015383497817546,48.59712544775351,0.649362148833285,15.033743243896499,0.2684978345528867,4.5653326401452015,0.036998317995148536,0.7398560098919016,-0.08456239735765936,-0.9692487921337537,0.010096666789006881,0.43276485436361606
decile_7,PASS,227,0.0004472186393786169,0.005379843668176232,0.6185938310065969,0.5361839668649707,0.9501348206897859,0.9662802964786016,39.449582987096086,0.6627048673278084,13.445961118617392,0.22984518134820006,3.818287693547466,0.04311848221524269,0.7141302806155113,-0.017171457742556413,-0.21651293889695084,-0.017806093580918423,-0.6531707273948893
decile_8,PASS,227,0.00019346968375634558,0.0023241082131617574,0.21753189608022377,0.8277938525876724,0.9382646364840243,0.9830588696711462,41.632487475887785,0.6466464367399966,12.422784651999159,0.2617719232343969,4.178713286563219,0.0257976956150786,0.38288458481748794,-0.05460390148066368,-0.6833710192695076,-0.001390893262817841,-0.030016041490262643
decile_9,PASS,227,-0.0010602387009429975,-0.01264893498466435,-0.8480606830214623,0.39640417634035496,0.8974544986466615,1.0032079879375515,35.591744097655365,0.6941844052082475,8.826686899556414,0.16508385924672744,2.1968656457097557,-0.03897127780677265,-0.44079033511407867,0.03484015635361968,0.4130983841389025,-0.019933618749459592,-0.2833781778272918
decile_10,PASS,227,-0.00484362893241743,-0.05659986764341063,-2.502162863332703,0.012343712697109384,0.8242457898409178,1.120294430552818,21.784065486742175,0.6973504762969593,6.509039920877118,0.16493270688174283,1.8907440148000083,-0.3480465509997831,-2.4893296692479097,-0.10911589028193118,-0.8896629028803541,0.05401768774048455,0.7678394620748334
decile_ls,PASS,227,-0.0010073623388755324,-0.012021597046396382,-0.294798743055579,0.7681476266846209,0.060330822700051634,-0.06599082650628131,-0.6756364621785375,-0.214458953897464,-1.0918128228596997,0.2305756172806073,1.5058115670059058,-0.007526971622648419,-0.03179996948013519,-0.22262541169922645,-0.8844584548547374,0.2422979094151491,1.7769180858796612
