portfolio,status,nobs,alpha_monthly,alpha_annualized,alpha_t_newey_west,alpha_p_newey_west,rsquared,beta_mktrf,t_mktrf,beta_smb,t_smb,beta_hml,t_hml
proposal_gross_ls,PASS,227,-0.0007438736595170026,-0.008890053350034788,-0.4389761451271098,0.6606788213767361,0.02640947270416316,-0.06311273599057668,-1.420258565299978,-0.0942114483830543,-1.0174202484684567,0.04320710358361749,0.6261312718860756
proposal_beta_neutral_ls,PASS,227,-0.0004775935112900463,-0.005716091768784293,-0.34980316302339937,0.7264864250872098,0.009346608443781879,0.008414695614000907,0.2721560969742106,-0.08965778138357594,-0.9459237907196245,0.006202503816003407,0.1065541415453399
proposal_net_ls,PASS,227,-0.002052102357547687,-0.02434918651623008,-1.502417475667681,0.13298932589063286,0.009374817693158621,0.008898650850296362,0.2876563670712806,-0.08989954079352395,-0.945988966780053,0.006597078478845166,0.11313555651008893
proposal_taq_net_ls,PASS,227,-0.004263444278282175,-0.04997853894874327,-3.107711919838019,0.001885417550988863,0.009194609787680275,0.009406885742904896,0.30625060775624374,-0.08901681241951837,-0.9481825700044226,0.004313735677944579,0.07357946840685792
