portfolio,status,nobs,alpha_monthly,alpha_annualized,alpha_t_newey_west,alpha_p_newey_west,rsquared,beta_mktrf,t_mktrf,beta_smb,t_smb,beta_hml,t_hml,beta_rmw,t_rmw,beta_cma,t_cma,beta_umd,t_umd
proposal_gross_ls,PASS,227,-0.0011427482140444127,-0.01362711837883046,-0.7311685403313031,0.46467621341867116,0.05753416633046826,-0.04871161025380885,-1.033162630992471,-0.04751995965946811,-0.4655999409778416,0.1460357950179214,2.043661965545721,0.12870927215689623,1.0044168164558505,-0.184816606654586,-1.493849309028855,0.09402672288375867,1.933236211475284
proposal_beta_neutral_ls,PASS,227,-0.0008705163122818254,-0.010396325881361967,-0.6733700285099505,0.50071191128921,0.04665839369180658,0.018563378989572193,0.5049784405816381,-0.0437680070264871,-0.49145246015401167,0.10189490447379682,1.524917744909897,0.13580975163422382,1.3049066651799244,-0.18269308861140954,-1.452530333490075,0.07840361098911293,2.0225768136719853
proposal_net_ls,PASS,227,-0.0024496416108480664,-0.02900286639788885,-1.8979159844359,0.05770715036438445,0.04676784311982085,0.019234828129262957,0.5229815045856588,-0.04370123973690787,-0.48997938791107326,0.10196009791140295,1.525381683822433,0.13641078740930113,1.3118920505744835,-0.1816220642964291,-1.4398023253963428,0.07866133563608069,2.0243551931689936
proposal_taq_net_ls,PASS,227,-0.004648363369303339,-0.0543761468949564,-3.5854558451532776,0.00033648993429687016,0.04528506276191491,0.019528542022061238,0.5372619252122482,-0.04406508668198675,-0.5001332128747998,0.09825318774615545,1.477575084039585,0.1326130052861399,1.2863301727711856,-0.17883359547598912,-1.424472473354237,0.07740847778360031,1.9984621112615026
