term,mean_coef,t_stat_naive,months
const,-12441574487.671148,-1.1578314295256136,347
mean_iv,-0.0018452507830757435,-2.212895003010874,347
atm_iv,-0.0004124202386532598,-0.6108566347711137,347
put_call_iv_spread,-0.001847209948154026,-5.873263592693545,347
median_spread_pct,0.00043051498261363743,1.520623046344176,347
n_contracts,0.002079703021736266,3.6541167009526347,347
market_equity,-0.0002488302317576046,-0.9351589962229226,347
log_market_equity,-0.004151749873212678,-3.0935956032671306,347
turnover,-0.0009353531322389296,-1.5105731296318092,347
log_dollar_volume,0.003297597219787088,3.02293820395669,347
short_reversal,-0.0021165213720652195,-3.764926849897216,347
momentum_12_2,-7914182.328977733,-0.11529423249322152,347
momentum_6_1,-33154842.982655562,-1.188031406176892,347
momentum_36_13,302485455.5791865,1.6646155880974585,347
realized_vol_12m,46169221.95818221,0.6659609343246388,347
amihud_illiq_12m,61645402.63398074,1.0654692066438223,347
max_ret_12m,-10708922.69812763,-0.16589905755010964,347
ret_skew_12m,-1736358.6644237908,-0.32558877597015823,347
zero_volume_12m,-31142291.80100957,-0.8261944016716007,347
price,-0.0010230629286925815,-1.6220124776645188,347
book_to_market_comp,0.0010438717863716182,0.0833453319189808,347
gross_profitability,0.0009720460631402611,1.8349879039885209,347
operating_profitability,-0.004705726527552666,-0.47865635892589287,347
roe,0.005012845352611856,0.5088344563223636,347
leverage,-3.91045755696182e-05,-0.11740232860025433,347
capex_at,-0.0005627100965811545,-1.35868128432993,347
accruals_at,-0.0030877700899808523,-1.453314506511214,347
cashflow_accruals_at,0.0006621717980931029,1.0239817528321467,347
investment,-8504763.514548708,-0.3133748432133062,347
asset_growth,8504763.514020404,0.31337484319414105,347
sales_growth,-0.0005853879758811979,-2.6605627318544043,347
cash_at,0.0013773600380099405,2.5191380423113467,347
cashflow_at,5.920784511865905e-05,0.1230692193888999,347
net_working_capital_at,0.0026073414799928987,1.1730010780411344,347
profit_margin,0.00016602564581290582,0.39170337216690737,347
sales_at,0.0003295946952151828,0.8657444837848338,347
debt_growth,3.69877250419595e-05,0.18319217783951908,347
equity_issuance,2.4947609961111267e-06,0.017753639240698456,347
earnings_to_price,0.005403268710600888,0.4314606158711224,347
beta_252d,0.00010247742297732987,0.08644978557767422,347
idio_vol_252d,0.0021058899232876465,0.9780412465622538,347
total_vol_252d,-0.0048424383917958684,-1.9997603468054634,347
mkt_corr_252d,0.0009340488926362769,1.307020210054219,347
vix_eom,1349867271.1386957,1.9073965060881135,347
vix_mean,628657554.2995362,0.8245348472133842,347
vix_realized_state_vol,-484681835.4068043,-0.6893378657501766,347
vix_change,114269041.78188498,0.2287421259262995,347
vxo_eom,-3749624.8908477034,-0.005497330504529322,347
vxn_eom,891384162.6214063,1.0338043715655922,347
vxd_eom,-868897654.417878,-1.161405985905001,347
baa_aaa_spread,-905057191.7803199,-1.5638561969661327,347
mktrf,2341682591.7875857,2.868862047646728,347
smb,-62829989.25149862,-0.08882461818455997,347
hml,-766832169.3151914,-1.0629238501183318,347
rmw,-2389349620.3447165,-3.151258015090679,347
cma,1465558969.8047187,1.8307395177830033,347
umd,-36306589.41750354,-0.043321899402100135,347
taq_half_spread,-0.0004563314921512394,-0.4702004503568944,347
taq_intraday_vol,0.0008601791156581131,0.7500991530044921,347
taq_dollar_volume,8.02500856036311e-05,0.25952490669432166,347
ibes_analyst_coverage,6.869967460838215e-05,0.17644501047568723,347
ibes_forecast_dispersion,7.352712748584834e-05,0.2878589942635443,347
ibes_revision_breadth,0.0005091421285838504,1.9171056971862361,347
ibes_mean_estimate,0.0008187298977355927,1.317608559688242,347
fred_unrate,-1274459376.6391733,-2.016577305679649,347
fred_cpi_yoy,119386771.78916149,0.32643242036706377,347
fred_indpro_yoy,164942599.87440532,0.3809480885981119,347
fred_dgs10,-1016273487.4540815,-1.4703590385659049,347
fred_dgs2,221872634.1337039,0.3150689989878062,347
fred_10y2y_spread,-49709999.44094648,-0.09530497167489174,347
fred_t10y3m,335557374.85940963,0.5488923768341898,347
fred_nfci,-641391432.3046528,-1.0179426004179974,347
bls_unrate,-1274459376.6391733,-2.016577305679649,347
bls_avg_hourly_earnings,5678710384.0212145,1.0143088062509862,347
bls_cpi_u_yoy,-5300434485.064723,-2.092407964786131,347
log_n_contracts,-0.000960886449306832,-2.0174596691097957,347
